"SetuVillageId","PortalLocationCode","PortalOriginalVillageId","SetuVillageName","PortalVillageName","SetuBlockId","SetuBlockName","PortalBlockId","PortalBlockName","SetuDistrictId","SetuDistrictName","PortalDistrictId","PortalDistrictName","OverallStatus","DifferenceDetails"
"12506067","​130060019001900047","555875","Dhenkana","DHENKANA","12506","Nuagaon","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506068","","","Dhipamala","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506069","​130060019001900014","555842","Dhodapalli","DHODAPALLI","12506","Nuagaon","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130190015001500048","11307","","DIANDHOTI","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506070","","","Digi","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506071","​130030019001900050","555878","Dimiria","DIMIRIA","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506072","​130030019001900088","555916","Dimirijhari","DIMIRIJHARI","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506073","​130040019001900050","555878","Dimiripadar","DIMIRIPADAR","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506074","​130040019001900002","555830","Dimiripalli","DIMIRIPALLI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506075","","","Dumdumapali","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506076","​090160019001900164","564330","Durdura","DURDURA","12506","Nuagaon","090160","SONEPUR","125","Nayagarh","29","SONEPUR","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506077","​130030019001900051","555879","Durungi","DURUNGI","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506078","","","Ekatal","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"","​130190015001500068","11327","","ERKANTA","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"","​130190015001500060","11319","","GARSRIRAMPUR","","","130190","NUAGAON","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12506079","​130030019001900099","555927","Gateri","GATERI","12506","Nuagaon","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506080","","","Gaudachancharapali","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506081","​130040019001900060","555888","Ghadeibandha","GHADEIBANDHA","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506083","","","Ghantulei","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506082","","","Ghantulei","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506084","​130040019001900041","555869","Ghudukabari","GHUDUKABARI","12506","Nuagaon","130040","GOP","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506085","","","Gochha","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506086","","","Gochhabari","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506087","","","Gohirabadu","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506088","","","Golgola","","12506","Nuagaon","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12506089","​130290027002700073","11332","Gopinathpur","GOPINATH PUR","12506","Nuagaon","130290","CHILIKA","125","Nayagarh","19","KHURDA","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12506090","​130100025002500025","11284","Gudupangi","GUDUPANGI","12506","Nuagaon","130100","KANAS","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
